FID,latitude,longitude, INT_REFNO, PREFIX, UDI, Neighborhood_Name, BDNUM, TEXT_NBR, 2014 White %, 2014 Black%, 2014 MedianIncome, Bachelor's Degree  %,,,,,
1,39.78373,-100.445882,-2144134800, REFNO,23152, Phillips West,90,90,22,53,18414,22.6,,,,MapQuest Open,country
2,39.78373,-100.445882,-2144131300, REFNO,23187, Downtown West,87,87,58.7,18.9,65389,55.2,,,,MapQuest Open,country
3,39.78373,-100.445882,-2144131200, REFNO,23188, Downtown East,88,88,57,20,74083,58.1,,,,MapQuest Open,country
4,39.78373,-100.445882,0, REFNO,23189, Ventura Village,89,89,24,41,17016,15.6,,,,MapQuest Open,country
5,39.78373,-100.445882,-2144137100, REFNO,23129, Sumner - Glenwood,29,29,8,73,12473,11.4,,,,MapQuest Open,country
6,39.78373,-100.445882,-2144139900, REFNO,23101, Shingle Creek,1,1,44,19,48750,25.3,,,,MapQuest Open,country
7,39.78373,-100.445882,-2144139800, REFNO,23102, Lind - Bohanon,2,2,44,25,42053,22.1,,,,MapQuest Open,country
8,39.78373,-100.445882,-2144139600, REFNO,23104, Webber - Camden,4,4,38,37,36342,19.5,,,,MapQuest Open,country
9,39.78373,-100.445882,-2144138600, REFNO,23114, Bottineau,14,14,57,21,46734,28.6,,,,MapQuest Open,country
10,39.78373,-100.445882,-2144139700, REFNO,23103, Victory,3,3,63,24,57709,34,,,,MapQuest Open,country
11,39.78373,-100.445882,0, REFNO,23108, Humboldt Industrial Area,8,8, NA, NA, NA,NA,,,,MapQuest Open,country
12,39.78373,-100.445882,-2144133700, REFNO,23163, Howe,63,63,81,8,63141,49.9,,,,MapQuest Open,country
13,39.78373,-100.445882,-2144133600, REFNO,23164, Hiawatha,64,64,84,3,61845,51.7,,,,MapQuest Open,country
14,39.78373,-100.445882,-2144133200, REFNO,23168, Windom,68,68,71,11,86736,55.1,,,,MapQuest Open,country
15,39.78373,-100.445882,-2144132400, REFNO,23176, Ericsson,76,76,87, ,71375,56.1,,,,MapQuest Open,country
16,39.78373,-100.445882,-2144132300, REFNO,23177, Field,77,77,73,16,100433,64.2,,,,MapQuest Open,country
17,39.78373,-100.445882,-2144132200, REFNO,23178, Page,78,78,85,8,115107,75.1,,,,MapQuest Open,country
18,39.78373,-100.445882,-2144136300, REFNO,23137, Como,37,37,62,16,65516,62.4,,,,MapQuest Open,country
19,39.78373,-100.445882,-2144136200, REFNO,23138, Cedar Riverside,38,38,35,44,13950,25.4,,,,MapQuest Open,country
20,39.78373,-100.445882,-2144136100, REFNO,23139, Prospect Park - East River Road,39,39,72,5,33716,69,,,,MapQuest Open,country
21,39.78373,-100.445882,-2144136000, REFNO,23140, University of Minnesota,40,40,71,7,18477,41.7,,,,MapQuest Open,country
22,39.78373,-100.445882,-2144137600, REFNO,23124, Jordan,24,24,18,45,36232,13.8,,,,MapQuest Open,country
23,39.78373,-100.445882,-2144137500, REFNO,23125, Hawthorne,25,25,16,40,20801,15.5,,,,MapQuest Open,country
24,39.78373,-100.445882,-2144137400, REFNO,23126, Willard - Hay,26,26,20,54,41804,26.3,,,,MapQuest Open,country
25,39.78373,-100.445882,-2144137300, REFNO,23127, Near - North,27,27,12,53,24733,17,,,,MapQuest Open,country
26,39.78373,-100.445882,-2144137200, REFNO,23128, Harrison,28,28,33,0,29239,17.9,,,,MapQuest Open,country
27,39.78373,-100.445882,-2144136900, REFNO,23131, Loring Park,31,31,73,12,37081,60.2,,,,MapQuest Open,country
28,39.78373,-100.445882,-2144136800, REFNO,23132, Steven's Square - Loring Heights,32,32,61,24,23485,47.8,,,,MapQuest Open,country
29,39.78373,-100.445882,-2144131900, REFNO,23181, Minnehaha,81,81,80,6,63229,49,,,,MapQuest Open,country
30,39.78373,-100.445882,-2144131800, REFNO,23182, Diamond Lake,82,82,74,8,78248,53.4,,,,MapQuest Open,country
31,39.78373,-100.445882,-2144133800, REFNO,23162, Cooper,62,62,81,3,74564,60.9,,,,MapQuest Open,country
32,39.78373,-100.445882,-2144133500, REFNO,23165, Tangletown,65,65,81,6,103410,65.9,,,,MapQuest Open,country
33,39.78373,-100.445882,-2144131400, REFNO,23186, North Loop,86,86,78,14,107599,75.5,,,,MapQuest Open,country
34,39.78373,-100.445882,-2144132100, REFNO,23179, Hale,79,79,87,4,96111,68.4,,,,MapQuest Open,country
35,39.78373,-100.445882,-2144132000, REFNO,23180, Keewaydin,80,80,79, ,79613,49.2,,,,MapQuest Open,country
36,39.78373,-100.445882,-2144132800, REFNO,23172, Fulton,72,72,90,3,111921,76.5,,,,MapQuest Open,country
37,39.78373,-100.445882,-2144132700, REFNO,23173, Lynnhurst,73,73,89,4,114873,76,,,,MapQuest Open,country
38,39.78373,-100.445882,-2144134200, REFNO,23158, Bancroft,58,58,64,14,55166,45.1,,,,MapQuest Open,country
39,39.78373,-100.445882,-2144134100, REFNO,23159, Standish,59,59,72,5,63506,48,,,,MapQuest Open,country
40,39.78373,-100.445882,-2144134000, REFNO,23160, Seward,60,60,56,34,31115,46.4,,,,MapQuest Open,country
41,39.78373,-100.445882,-2144133900, REFNO,23161, Longfellow,61,61,67,13,49925,40,,,,MapQuest Open,country
42,39.78373,-100.445882,-2144135500, REFNO,23145, Lowry Hill East,45,45,78,9,49702,57.9,,,,MapQuest Open,country
43,39.78373,-100.445882,-2144135400, REFNO,23146, ECCO,46,46, NA, NA, NA,,,,,MapQuest Open,country
44,39.78373,-100.445882,-2144135300, REFNO,23147, CARAG,47,47,90,1,50696,60.3,,,,MapQuest Open,country
45,39.78373,-100.445882,-2144134800, REFNO,23152, East Phillips,92,92,15,28,35224,21.6,,,,MapQuest Open,country
46,39.78373,-100.445882,-2144139500, REFNO,23105, Cleveland,5,5,52,30,49744,37.2,,,,MapQuest Open,country
47,39.78373,-100.445882,-2144131700, REFNO,23183, Wenonah,83,83,60,12,54321,42.7,,,,MapQuest Open,country
48,39.78373,-100.445882,-2144138500, REFNO,23115, Holland,15,15,47,19,45343,23.3,,,,MapQuest Open,country
49,39.78373,-100.445882,-2144138400, REFNO,23116, Audubon Park,16,16,77,4,69056,44,,,,MapQuest Open,country
50,39.78373,-100.445882,-2144132600, REFNO,23174, Regina,74,74,58,23,83077,53.7,,,,MapQuest Open,country
51,39.78373,-100.445882,-2144132500, REFNO,23175, Northrop,75,75,82,9,75428,60.8,,,,MapQuest Open,country
52,39.78373,-100.445882,-2144138300, REFNO,23117, Sheridan,17,17,67,15,43524,33.2,,,,MapQuest Open,country
53,39.78373,-100.445882,-2144138200, REFNO,23118, Logan Park,18,18,69,6,50987,37.8,,,,MapQuest Open,country
